"MARCA/MODELO","PREÇO","Ano","KM","COR","Cambio"
"Chevrolet Celta LT 1.0 (Flex)","R$ 19.990,00
","2012/ 2013","117.140","Preto","manual"
"Chevrolet Celta LS 1.0 (Flex) 2p","R$ 17.900,00
","2012/ 2012","99.764","Vermelho","manual"
"Chevrolet Celta LS 1.0 (Flex) 4p","R$ 19.900,00
","2012/ 2012","80.000","Prata","manual"
"Chevrolet Celta Spirit 1.0 VHCE (Flex) 4p","R$ 16.500,00
","2010/ 2011","82.200","Preto","manual"
"Chevrolet Celta Spirit 1.0 VHCE (Flex) 4p","R$ 18.990,00
","2010/ 2011","999","Prata","manual"
"Chevrolet Celta Spirit 1.0 VHCE (Flex) 2p","R$ 13.000,00
","2010/ 2010","133.000","Prata","manual"
"Chevrolet Celta Life 1.0 VHCE (Flex) 2p","R$ 14.000,00
","2010/ 2010","197.000","Vermelho","manual"
"Chevrolet Celta Spirit 1.0 VHCE (Flex) 2p","R$ 16.500,00
","2009/ 2010","122.000","Prata","manual"
"Chevrolet Celta Spirit 1.0 VHCE (Flex) 4p","R$ 16.890,00
","2009/ 2010","119.909","Prata","manual"
"Chevrolet Celta Spirit 1.0 VHCE (Flex) 4p","R$ 18.100,00
","2010/ 2010","79.000","Prata","manual"
"Chevrolet Celta LS 1.0 (Flex) 2p","R$ 17.990,00
","2012/ 2012","132.000","Branco","manual"
"Chevrolet Celta Life 1.0 VHCE (Flex) 2p","R$ 17.500,00
","2011/ 2011","131.000","Prata","manual"
"Chevrolet Celta Spirit 1.0 VHCE (Flex) 4p","R$ 17.900,00
","2010/ 2011","165.000","Prata","manual"
"Chevrolet Celta Spirit 1.0 VHCE (Flex) 4p","R$ 18.990,00
","2010/ 2011","130.000","Preto","manual"
"Chevrolet Celta Life 1.0 VHCE (Flex) 4p","R$ 16.900,00
","2009/ 2010","185.000","Prata","manual"
"Chevrolet Celta LS 1.0 (Flex) 2p","R$ 17.990,00
","2013/ 2014","69.000","Prata","manual"
"Chevrolet Celta LS 1.0 (Flex) 2p","R$ 18.900,00
","2013/ 2013","87.212","Prata","manual"
"Chevrolet Celta LS 1.0 (Flex) 2p","R$ 18.900,00
","2013/ 2013","87.212","Prata","manual"
"Chevrolet Celta LS 1.0 (Flex) 2p","R$ 15.490,00
","2011/ 2012","999.999","Prata","manual"
"Chevrolet Celta LS 1.0 (Flex) 2p","R$ 15.490,00
","2011/ 2012","999.999","Prata","manual"
